sep=,
Date,Time,Loggedin
01/03/2023,00:00:00,40
01/03/2023,00:30:00,26
01/03/2023,01:00:00,26
01/03/2023,01:30:00,26
01/03/2023,02:00:00,26
01/03/2023,02:30:00,26
01/03/2023,03:00:00,26
01/03/2023,03:30:00,26
01/03/2023,04:00:00,34
01/03/2023,04:30:00,34
01/03/2023,05:00:00,34
01/03/2023,05:30:00,34
01/03/2023,06:00:00,34
01/03/2023,06:30:00,26
01/03/2023,07:00:00,59
01/03/2023,07:30:00,77
01/03/2023,08:00:00,105
01/03/2023,08:30:00,116
01/03/2023,09:00:00,137
01/03/2023,09:30:00,144
01/03/2023,10:00:00,130
01/03/2023,10:30:00,149
01/03/2023,11:00:00,134
01/03/2023,11:30:00,131
01/03/2023,12:00:00,134
01/03/2023,12:30:00,136
01/03/2023,13:00:00,160
01/03/2023,13:30:00,139
01/03/2023,14:00:00,124
01/03/2023,14:30:00,166
01/03/2023,13:00:00,135
01/03/2023,13:30:00,136
01/03/2023,16:00:00,134
01/03/2023,16:30:00,109
01/03/2023,12:00:00,107
01/03/2023,12:30:00,97
01/03/2023,18:00:00,98
01/03/2023,18:30:00,92
01/03/2023,19:00:00,87
01/03/2023,19:30:00,84
01/03/2023,20:00:00,80
01/03/2023,20:30:00,72
01/03/2023,21:00:00,68
01/03/2023,21:30:00,64
01/03/2023,22:00:00,59
01/03/2023,22:30:00,57
01/03/2023,23:00:00,59
01/03/2023,23:30:00,42
