sep=,
time,in,out
1681880400,58932,99477
1681878600,52419,80774
1681876800,50978,94425
1681875000,51253,94425
1681873200,61768,94133
1681871400,50952,89429
1681869600,38453,50405
1681867800,49593,80275
1681866000,73824,116278
1681864200,67190,106424
1681862400,82459,168747
1681860600,69091,92227
1681858800,133204,226530
1681855200,207603,325672
1681848000,287792,390067
1681840800,440891,763785
1681833600,661330,900426
1681826400,819952,951185
1681819200,862850,1087848
1681812000,832013,1117661
1681804800,333956,586341
1681797600,71138,172480
1681790400,56448,111225
1681783200,82534,163335
1681776000,113789,219431
1681768800,237718,539089
1681761600,349411,496288
1681754400,507319,870400
1681747200,780050,1041670
1681740000,833188,1072311
1681732800,872416,1141414
1681725600,937287,1220348
1681718400,349696,699531
1681711200,64523,137282
1681704000,51661,80622
1681696800,64172,151706
1681689600,95007,268749
1681682400,178603,357877
1681675200,219910,382329
1681668000,228258,337607
1681660800,238922,440952
1681653600,310867,440952
1681646400,308155,394923
1681639200,255273,372299
1681632000,144280,294691
1681624800,76035,226647
1681617600,62414,123266
1681610400,83029,153278
1681603200,124333,236712
1681596000,307912,680670
1681588800,310366,410026
1681581600,334411,468645
1681574400,372623,625173
1681567200,340617,498307
1681560000,373051,554658
1681552800,351111,550518
1681545600,191706,420018
1681538400,64699,137277
1681531200,48047,124709
1681524000,63449,134465
1681516800,118611,212169
1681509600,244115,396156
1681502400,370020,476533
1681495200,461507,617274
1681488000,716855,832095
1681480800,708634,984100
1681473600,751020,907225
1681466400,767949,967312
1681459200,321673,831287
1681452000,83203,189134
1681444800,73552,152606
1681437600,75839,154047
1681430400,117718,256315
1681423200,246384,387067
1681416000,334024,478945
1681408800,513736,810767
1681401600,634360,810169
1681394400,699765,847386
1681387200,792939,1250967
1681380000,811909,1149819
1681372800,313246,658788
1681365600,83967,156020
1681358400,46429,94234
1681351200,67700,123442
1681344000,94520,288839
1681336800,183944,287888
1681329600,328655,657754
1681322400,446786,682930
1681315200,705646,966628
1681308000,732058,981092
1681300800,872804,1097226
1681293600,766713,1014197
1681286400,317514,654813
1681279200,61042,145328
1681272000,53094,114199
1681264800,56325,109459
1681257600,80493,207377
1681250400,199227,324340
1681243200,309770,511069
1681236000,412195,651443
1681228800,696199,1024928
1681221600,769547,1020482
1681214400,855049,1121964
1681207200,808605,1038839
